CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status
24168,16783,20190602,GGOEGBRJ037299,Google Backpack,Bags,2,79.99,9.99,Used
73092,16784,20191227,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,7.99,Clicked
55745,16785,20190528,GGOEGOLC014299,Google Leather Journal,Office,2,19.99,6.5,Not Used
55745,16786,20190316,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,9.99,Used
40982,16787,20190815,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,4.99,Clicked
22704,16788,20191015,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,9.99,Clicked
84847,16789,20190505,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,4,119.0,4.99,Clicked
70952,16790,20190127,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,6.5,Used
59692,16791,20190312,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,5,119.0,4.99,Not Used
65444,16792,20190901,GGOEGHPB071610,Google Cap Black,Headgear,2,14.99,5.99,Not Used
42177,16793,20191127,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,4.99,Clicked
29536,16794,20190120,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,3,18.99,4.99,Used
93810,16795,20190911,GGOEGAAX0358,Google Hoodie Grey,Apparel,4,49.99,5.99,Used
97012,16796,20190602,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,9.99,Clicked
61876,16797,20190910,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,4.99,Used
91416,16798,20190325,GGOEGHPJ080110,Google Beanie,Headgear,2,16.99,0,Clicked
53540,16799,20190601,GGOEGBMJ013399,Google Tote Bag,Bags,2,12.99,9.99,Not Used
79352,16800,20190921,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,0,Used
35313,16801,20190902,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,6.5,Used
34050,16802,20190517,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,7.99,Used
88193,16803,20191201,GGOEGETR013999,Google Yoga Mat,Lifestyle,1,29.99,9.99,Used
24168,16804,20190607,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,2,18.99,9.99,Not Used
43386,16805,20190302,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,2,12.99,4.99,Used
37802,16806,20190320,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,7.99,Not Used
97012,16807,20191003,GGOEGBMJ013399,Google Tote Bag,Bags,2,12.99,7.99,Used
62383,16808,20190817,GGOEGEFR024199,Google Sunglasses,Lifestyle,4,9.99,0,Used
32241,16809,20190916,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,4.99,Not Used
99733,16810,20190815,GGOEGOLC014299,Google Leather Journal,Office,1,19.99,7.99,Not Used
76768,16811,20190919,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,7.99,Not Used
57472,16812,20191016,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,12.99,Not Used
92149,16813,20190112,GGOEGOLC014599,Google Large Notebook,Notebooks,3,11.99,9.99,Used
57400,16814,20190207,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199.0,0,Clicked
63271,16815,20190205,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,4.99,Used
74032,16816,20191125,GGOEGOLC014599,Google Large Notebook,Notebooks,5,11.99,6.5,Not Used
60432,16817,20190712,GGOEGOLC014299,Google Leather Journal,Office,4,19.99,12.99,Clicked
40784,16818,20191201,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,7.99,Not Used
12671,16819,20190307,GGOEGBMJ013399,Google Tote Bag,Bags,2,12.99,5.99,Not Used
55745,16820,20191006,GGOEGOLC014599,Google Large Notebook,Notebooks,3,11.99,4.99,Not Used
87236,16821,20190321,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,4,23.99,9.99,Used
30028,16822,20191205,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,0,Used
70332,16823,20190118,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,0,Not Used
80539,16824,20190430,GGOEGBMJ013399,Google Tote Bag,Bags,1,12.99,5.99,Used
71993,16825,20191022,GGOEGETR013999,Google Yoga Mat,Lifestyle,1,29.99,9.99,Not Used
73092,16826,20190604,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,6.5,Not Used
55082,16827,20190201,GGOEGAAX0358,Google Hoodie Grey,Apparel,2,49.99,7.99,Not Used
16572,16828,20190626,GGOEGOLC014599,Google Large Notebook,Notebooks,2,11.99,6.5,Used
16572,16829,20190712,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,12.99,Used
83385,16830,20191229,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,4,18.99,7.99,Not Used
16590,16831,20191013,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,4.99,Not Used
70217,16832,20190210,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,9.99,Used
57472,16833,20190518,GGOEGOLC013299,Google Small Notebook,Notebooks,3,6.99,4.99,Clicked
46048,16834,20191210,GGOEGBRJ037299,Google Backpack,Bags,1,79.99,5.99,Not Used
63883,16835,20190419,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,12.99,Not Used
12260,16836,20191223,GGOEGBRJ037299,Google Backpack,Bags,4,79.99,7.99,Not Used
34050,16837,20190525,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,5.99,Not Used
46655,16838,20190704,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,9.99,Not Used
18834,16839,20190613,GGOEGBRJ037299,Google Backpack,Bags,1,79.99,0,Clicked
65057,16840,20190316,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199.0,7.99,Clicked
76162,16841,20190802,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,4.99,Not Used
57472,16842,20190506,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,12.99,Not Used
74042,16843,20191125,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,12.99,Not Used
57400,16844,20190313,GGOEGHPB071610,Google Cap Black,Headgear,4,14.99,7.99,Clicked
77715,16845,20190926,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,9.99,Used
15383,16846,20190104,GGOEGOLC013299,Google Small Notebook,Notebooks,3,6.99,4.99,Used
64921,16847,20190319,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,5.99,Used
42706,16848,20191123,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,7.99,Clicked
23434,16849,20190107,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,2,119.0,7.99,Not Used
66985,16850,20190915,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,0,Clicked
16630,16851,20190504,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,12.99,Not Used
63883,16852,20190723,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,4,8.99,6.5,Clicked
59692,16853,20191223,GGOEGBRJ037299,Google Backpack,Bags,2,79.99,12.99,Used
25157,16854,20191129,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Clicked
16590,16855,20190129,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,6.5,Not Used
98781,16856,20190619,GGOEGOLC014299,Google Leather Journal,Office,4,19.99,4.99,Used
17685,16857,20191018,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,0,Clicked
39451,16858,20191006,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,5.99,Used
36071,16859,20191028,GGOEGAAX0358,Google Hoodie Grey,Apparel,3,49.99,0,Not Used
19545,16860,20191016,GGOEGBCR024399,Google Laptop Sleeve,Bags,3,24.99,6.5,Clicked
99593,16861,20190619,GGOEGOLC013299,Google Small Notebook,Notebooks,2,6.99,9.99,Clicked
37938,16862,20190914,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,4.99,Used
26334,16863,20191106,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,5.99,Not Used
70952,16864,20190427,GGOEGETR013999,Google Yoga Mat,Lifestyle,4,29.99,6.5,Used
96706,16865,20191027,GGOEGOLC013299,Google Small Notebook,Notebooks,2,6.99,5.99,Used
44522,16866,20190207,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,9.99,Clicked
39831,16867,20190719,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,0,Not Used
35313,16868,20190704,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,4.99,Not Used
99733,16869,20191013,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,5.99,Clicked
63005,16870,20191102,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,6.5,Not Used
74042,16871,20190213,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,9.99,Not Used
31174,16872,20190313,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,1,12.99,4.99,Used
96951,16873,20190811,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,1,12.99,12.99,Used
80686,16874,20190509,GGOEGBCR024399,Google Laptop Sleeve,Bags,2,24.99,7.99,Clicked
64921,16875,20190823,GGOEGDHC074099,Google Pen White,Office,1,1.5,6.5,Not Used
30028,16876,20190714,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,1,2.99,12.99,Clicked
43386,16877,20190311,GGOEGDHQ015399,Google Ceramic Mug,Drinkware,2,12.99,9.99,Used
98781,16878,20190610,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,4,18.99,5.99,Clicked
25129,16879,20191121,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,5.99,Not Used
63271,16880,20190228,GGOEGBCR024399,Google Laptop Sleeve,Bags,5,24.99,4.99,Clicked
70332,16881,20191009,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,9.99,Used
79615,16882,20190530,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,2,8.99,4.99,Clicked
69429,16883,20190504,GGOEGDHC018299,Google Travel Tumbler,Drinkware,1,18.99,6.5,Not Used
30257,16884,20190818,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,12.99,Clicked
30028,16885,20191006,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,199.0,12.99,Clicked
81200,16886,20191123,GGOEGDHC074099,Google Pen White,Office,2,1.5,9.99,Clicked
82420,16887,20190327,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,5,119.0,9.99,Clicked
10053,16888,20190619,GGOEGOLC013299,Google Small Notebook,Notebooks,1,6.99,5.99,Used
54020,16889,20190923,GGOEGBRJ037299,Google Backpack,Bags,1,79.99,6.5,Clicked
81066,16890,20191220,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,5,18.99,6.5,Used
47353,16891,20190801,GGOEGDHC074099,Google Pen White,Office,3,1.5,9.99,Used
47353,16892,20190609,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,2,2.99,7.99,Not Used
40512,16893,20190901,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,2,8.99,6.5,Not Used
16590,16894,20190603,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,12.99,Not Used
23947,16895,20190225,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,4.99,Clicked
26483,16896,20190619,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,6.5,Clicked
19099,16897,20190406,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,7.99,Used
17685,16898,20191031,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,4.99,Used
26483,16899,20191227,GGOEGOLC014299,Google Leather Journal,Office,1,19.99,12.99,Clicked
26334,16900,20190707,GGOEGEFR024199,Google Sunglasses,Lifestyle,1,9.99,5.99,Clicked
44438,16901,20190928,GGOEGETR013999,Google Yoga Mat,Lifestyle,1,29.99,6.5,Clicked
49529,16902,20190628,GGOEGEHQ072099,Google Sticker Pack,Lifestyle,2,2.99,12.99,Clicked
20500,16903,20190602,GGOEGOLC014299,Google Leather Journal,Office,1,19.99,0,Used
30257,16904,20190301,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,2,18.99,7.99,Not Used
80008,16905,20191102,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,4.99,Not Used
26483,16906,20191003,GGOEGAAX0358,Google Hoodie Grey,Apparel,1,49.99,5.99,Used
60432,16907,20190611,GGOEGHPB071610,Google Cap Black,Headgear,3,14.99,0,Not Used
15383,16908,20190410,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,6.5,Not Used
48890,16909,20190816,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,0,Used
70901,16910,20190117,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,4.99,Not Used
25129,16911,20190911,GGOEGOLC014299,Google Leather Journal,Office,1,19.99,12.99,Clicked
51245,16912,20191005,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,4.99,Not Used
19880,16913,20191201,GGOEGBRJ037299,Google Backpack,Bags,3,79.99,0,Not Used
39451,16914,20190628,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,3,8.99,0,Used
56105,16915,20191029,GGOEGETR013999,Google Yoga Mat,Lifestyle,2,29.99,6.5,Used
36100,16916,20190313,GGOEGBMJ013399,Google Tote Bag,Bags,3,12.99,7.99,Not Used
30861,16917,20190524,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,5,18.99,5.99,Not Used
57400,16918,20190517,GGOEGDHC074099,Google Pen White,Office,4,1.5,12.99,Not Used
96706,16919,20190522,GGOEGAAX0358,Google Hoodie Grey,Apparel,3,49.99,4.99,Used
31632,16920,20190614,GGOEGBCR024399,Google Laptop Sleeve,Bags,1,24.99,4.99,Clicked
15482,16921,20190518,GGOEGOLC014599,Google Large Notebook,Notebooks,1,11.99,9.99,Used
19171,16922,20190921,GGOEGDHC018299,Google Travel Tumbler,Drinkware,4,18.99,5.99,Not Used
95215,16923,20190617,GGOENEBB078899,Nest Protect Smoke + CO Alarm - USA,Nest-USA,1,119.0,6.5,Clicked
53540,16924,20191224,GGOEGEFR024199,Google Sunglasses,Lifestyle,2,9.99,6.5,Used
62383,16925,20190419,GGOEGHPJ080110,Google Beanie,Headgear,1,16.99,5.99,Not Used
70952,16926,20191023,GGOEGAAX0358,Google Hoodie Grey,Apparel,3,49.99,12.99,Not Used
23434,16927,20190125,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,12.99,Not Used
24168,16928,20190305,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,6.5,Used
59692,16929,20190309,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,3,23.99,5.99,Used
70217,16930,20190704,GGOEGDWR015799,Google Stainless Steel Bottle,Drinkware,1,23.99,9.99,Used
59692,16931,20190722,GGOEGDHC018299,Google Travel Tumbler,Drinkware,2,18.99,4.99,Not Used
28136,16932,20190216,GGOEGDHC074099,Google Pen White,Office,1,1.5,0,Used
33206,16933,20190426,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,5.99,Used
80539,16934,20191222,GGOEGAAX0104,Google Womens Short Sleeve Hero Tee,Apparel,1,18.99,6.5,Used
93136,16935,20190222,GGOEGOAQ012899,Google Spiral Notebook and Pen Set,Office,1,8.99,5.99,Used
37742,16936,20190310,GGOEGAAX0037,Google Mens Vintage Badge Tee Black,Apparel,1,19.99,0,Clicked
66985,16937,20190326,GGOEGHPJ080110,Google Beanie,Headgear,2,16.99,9.99,Clicked
74789,16938,20190730,GGOEGHPB071610,Google Cap Black,Headgear,1,14.99,0,Used
95649,16939,20190305,GGOEGOLC014599,Google Large Notebook,Notebooks,4,11.99,5.99,Used
